frame_index,time_sec,yaw,pitch,roll,raw_yaw,raw_pitch,raw_roll,smoothed_yaw,smoothed_pitch,smoothed_roll,confidence,yaw_confidence,pitch_confidence,roll_confidence,status,warnings,detected_line_count,near_horizontal_count,near_vertical_count,perspective_line_count,vanishing_point_candidate_count,horizon_candidate_count,selected_horizon_y_at_center,selected_vanishing_point_x,selected_vanishing_point_y,raw_vp_yaw,image_geometry_yaw,calibrated_heading_yaw,comparison_ready,pose_semantics,vp_temporal_jump,vp_side_flip,vp_cluster_ambiguity,line_support_consistency,selected_cluster_id,second_best_cluster_id,yaw_warning_flags
53,5.3,-67.03,-0.61,-0.86,67.03,-0.61,-0.86,,,,0.64,0.24,0.87,0.81,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""large_temporal_jump\"", \""high_cluster_ambiguity\"", \""low_line_support_consistency\""]""]",241,181,0,60,1234,41,193.66,1062.25,226.1,67.03,67.03,,False,single_frame_vanishing_point_image_geometry_yaw,197.472657854195,True,0.9981,0.1191,6,5,"[""yaw_sign_reference_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
54,5.4,-15.7,-0.65,0.62,15.7,-0.65,0.62,,,,0.66,0.34,0.81,0.82,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""large_temporal_jump\"", \""high_cluster_ambiguity\""]""]",237,164,5,68,1614,33,194.0,673.58,140.53,15.7,15.7,,False,single_frame_vanishing_point_image_geometry_yaw,397.97813231382446,True,0.9903,0.658,7,8,"[""yaw_sign_reference_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity""]"
55,5.5,-66.9,-0.73,-0.0,66.9,-0.73,-0.0,,,,0.63,0.24,0.81,0.83,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""large_temporal_jump\"", \""high_cluster_ambiguity\"", \""low_line_support_consistency\""]""]",200,118,6,76,1876,19,194.88,1059.37,192.35,66.9,66.9,,False,single_frame_vanishing_point_image_geometry_yaw,389.25471930344,True,0.984,0.0959,7,6,"[""yaw_sign_reference_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
56,5.6,-31.25,0.33,-0.0,31.25,0.33,-0.0,,,,0.66,0.34,0.83,0.81,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""large_temporal_jump\"", \""high_cluster_ambiguity\""]""]",189,115,5,69,1604,24,183.38,734.49,145.41,31.25,31.25,,False,single_frame_vanishing_point_image_geometry_yaw,328.2535270183702,True,0.9898,0.6222,6,7,"[""yaw_sign_reference_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity""]"
57,5.7,-62.79,-1.17,-0.0,-62.79,-1.17,-0.0,,,,0.66,0.29,0.86,0.83,full,"[""Yaw reliability warning: [\""vp_side_flip\"", \""large_temporal_jump\"", \""high_cluster_ambiguity\"", \""low_line_support_consistency\""]""]",172,111,4,57,1085,31,199.66,257.32,193.13,-62.79,-62.79,,False,single_frame_vanishing_point_image_geometry_yaw,479.5502135334735,True,0.9966,0.1724,5,7,"[""vp_side_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
58,5.8,-77.1,-1.22,-0.0,77.1,-1.22,-0.0,,,,0.6,0.15,0.84,0.81,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""vp_side_flip\"", \""large_temporal_jump\"", \""high_cluster_ambiguity\"", \""low_line_support_consistency\""]""]",175,86,6,83,2402,25,200.21,1437.58,223.22,77.1,77.1,,False,single_frame_vanishing_point_image_geometry_yaw,1180.6435006808788,True,0.9781,0.0071,9,7,"[""yaw_sign_reference_flip"", ""vp_side_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
59,5.9,-74.24,-1.19,0.91,74.24,-1.19,0.91,,,,0.63,0.24,0.84,0.8,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""large_temporal_jump\"", \""high_cluster_ambiguity\"", \""low_line_support_consistency\""]""]",119,65,4,50,918,29,199.94,1283.51,237.02,74.24,74.24,,False,single_frame_vanishing_point_image_geometry_yaw,154.6867961398127,True,0.9886,0.1623,10,9,"[""yaw_sign_reference_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
60,6.0,-68.81,-1.36,-0.0,68.81,-1.36,-0.0,,,,0.62,0.24,0.83,0.79,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""large_temporal_jump\"", \""high_cluster_ambiguity\"", \""low_line_support_consistency\""]""]",131,79,5,47,782,36,201.73,1103.33,215.7,68.81,68.81,,False,single_frame_vanishing_point_image_geometry_yaw,181.43697197649664,True,0.9983,0.1279,7,8,"[""yaw_sign_reference_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
61,6.1,-44.54,-1.66,-0.0,44.54,-1.66,-0.0,,,,0.66,0.34,0.85,0.79,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""large_temporal_jump\"", \""high_cluster_ambiguity\""]""]",105,69,2,34,372,35,204.98,805.03,138.7,44.54,44.54,,False,single_frame_vanishing_point_image_geometry_yaw,308.0777336971953,True,0.953,0.9032,2,3,"[""yaw_sign_reference_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity""]"
62,6.2,-67.08,-2.23,-0.0,67.08,-2.23,-0.0,,,,0.65,0.24,0.91,0.8,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""large_temporal_jump\"", \""high_cluster_ambiguity\"", \""low_line_support_consistency\""]""]",97,33,5,59,1356,13,211.13,1063.2,202.85,67.08,67.08,,False,single_frame_vanishing_point_image_geometry_yaw,266.02062213294676,True,0.9818,0.0715,4,3,"[""yaw_sign_reference_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
63,6.3,-39.46,-2.81,0.92,39.46,-2.81,0.92,,,,0.68,0.34,0.89,0.8,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""large_temporal_jump\"", \""high_cluster_ambiguity\""]""]",82,41,4,37,502,19,217.43,774.92,151.67,39.46,39.46,,False,single_frame_vanishing_point_image_geometry_yaw,292.7878938754129,True,0.9705,0.7271,6,7,"[""yaw_sign_reference_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity""]"
64,6.4,-55.66,-2.14,0.86,55.66,-2.14,0.86,,,,0.63,0.24,0.86,0.8,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""large_temporal_jump\"", \""high_cluster_ambiguity\"", \""low_line_support_consistency\""]""]",74,36,3,35,454,20,210.21,894.7,161.77,55.66,55.66,,False,single_frame_vanishing_point_image_geometry_yaw,120.20506811278808,True,0.9903,0.2357,4,6,"[""yaw_sign_reference_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
65,6.5,-40.68,-3.02,-0.0,40.68,-3.02,-0.0,,,,0.74,0.54,0.87,0.8,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""high_cluster_ambiguity\""]""]",90,51,5,34,470,24,219.71,781.71,123.32,40.68,40.68,,False,single_frame_vanishing_point_image_geometry_yaw,119.35301671931046,True,0.9898,0.734,5,7,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity""]"
66,6.6,-35.31,-2.4,-0.0,35.31,-2.4,-0.0,,,,0.75,0.54,0.92,0.8,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""high_cluster_ambiguity\""]""]",87,44,3,40,620,23,213.0,753.44,129.39,35.31,35.31,,False,single_frame_vanishing_point_image_geometry_yaw,28.914318252381445,True,0.9955,0.7742,9,11,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity""]"
67,6.7,-13.06,-2.94,-0.0,13.06,-2.94,-0.0,,,,0.73,0.54,0.86,0.8,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""high_cluster_ambiguity\""]""]",80,38,3,39,610,19,218.92,664.37,122.97,13.06,13.06,,False,single_frame_vanishing_point_image_geometry_yaw,89.30107110219905,True,0.987,0.7754,4,5,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity""]"
68,6.8,-45.62,-2.27,1.07,45.62,-2.27,1.07,,,,0.65,0.34,0.83,0.79,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""large_temporal_jump\"", \""high_cluster_ambiguity\""]""]",90,57,2,31,346,27,211.59,812.09,141.58,45.62,45.62,,False,single_frame_vanishing_point_image_geometry_yaw,148.8876438795376,True,0.9963,0.578,6,7,"[""yaw_sign_reference_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity""]"
69,6.9,-67.24,-3.32,-2.79,67.24,-3.32,-2.79,,,,0.63,0.24,0.86,0.79,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""large_temporal_jump\"", \""high_cluster_ambiguity\"", \""low_line_support_consistency\""]""]",74,43,2,29,330,19,223.06,1066.69,258.36,67.24,67.24,,False,single_frame_vanishing_point_image_geometry_yaw,280.1048525106268,True,0.9889,0.1364,6,5,"[""yaw_sign_reference_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
70,7.0,-42.91,-3.21,-0.0,42.91,-3.21,-0.0,,,,0.66,0.34,0.85,0.79,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""large_temporal_jump\"", \""high_cluster_ambiguity\""]""]",82,52,3,27,296,22,221.84,794.83,119.73,42.91,42.91,,False,single_frame_vanishing_point_image_geometry_yaw,305.16575250181666,True,0.984,0.6622,9,8,"[""yaw_sign_reference_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity""]"
71,7.1,-42.45,-2.86,0.7,42.45,-2.86,0.7,,,,0.75,0.54,0.92,0.79,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""high_cluster_ambiguity\""]""]",65,39,4,22,195,18,218.0,792.03,138.08,42.45,42.45,,False,single_frame_vanishing_point_image_geometry_yaw,18.56239478084659,True,0.9837,0.6205,8,9,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity""]"
72,7.2,-65.61,-3.04,1.05,-65.61,-3.04,1.05,,,,0.65,0.3,0.86,0.8,full,"[""Yaw reliability warning: [\""vp_side_flip\"", \""large_temporal_jump\"", \""high_cluster_ambiguity\"", \""low_line_support_consistency\""]""]",78,49,0,29,338,23,219.97,208.48,234.76,-65.61,-65.61,,False,single_frame_vanishing_point_image_geometry_yaw,591.5045434314093,True,0.9996,0.0947,10,12,"[""vp_side_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
73,7.3,-64.91,-3.13,-0.0,64.91,-3.13,-0.0,,,,0.6,0.15,0.85,0.8,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""vp_side_flip\"", \""large_temporal_jump\"", \""high_cluster_ambiguity\"", \""low_line_support_consistency\""]""]",82,56,2,24,219,25,220.94,1020.36,223.86,64.91,64.91,,False,single_frame_vanishing_point_image_geometry_yaw,811.953166383382,True,0.9876,0.0594,6,5,"[""yaw_sign_reference_flip"", ""vp_side_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
74,7.4,-64.46,-2.84,-0.9,-64.46,-2.84,-0.9,,,,0.63,0.3,0.81,0.79,full,"[""Yaw reliability warning: [\""vp_side_flip\"", \""large_temporal_jump\"", \""high_cluster_ambiguity\"", \""low_line_support_consistency\""]""]",64,41,0,23,217,12,217.79,229.7,241.03,-64.46,-64.46,,False,single_frame_vanishing_point_image_geometry_yaw,790.8464101834187,True,0.9854,0.0737,1,2,"[""vp_side_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
75,7.5,-59.33,-3.54,-0.0,59.33,-3.54,-0.0,,,,0.6,0.15,0.85,0.8,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""vp_side_flip\"", \""large_temporal_jump\"", \""high_cluster_ambiguity\"", \""low_line_support_consistency\""]""]",72,46,1,25,257,15,225.46,936.35,172.91,59.33,59.33,,False,single_frame_vanishing_point_image_geometry_yaw,709.9257404123337,True,0.9726,0.0584,5,4,"[""yaw_sign_reference_flip"", ""vp_side_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
76,7.6,-64.4,-2.79,2.15,64.4,-2.79,2.15,,,,0.7,0.45,0.86,0.8,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""high_cluster_ambiguity\"", \""low_line_support_consistency\""]""]",71,40,0,31,383,16,217.3,1011.25,197.99,64.4,64.4,,False,single_frame_vanishing_point_image_geometry_yaw,78.98744457190647,True,0.9712,0.0653,4,3,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
77,7.7,-59.58,-2.86,2.79,59.58,-2.86,2.79,,,,0.7,0.44,0.88,0.79,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""high_cluster_ambiguity\"", \""low_line_support_consistency\""]""]",71,37,3,31,321,12,218.01,939.45,175.64,59.58,59.58,,False,single_frame_vanishing_point_image_geometry_yaw,75.19815489757707,True,0.977,0.1371,4,3,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
78,7.8,-69.95,-3.16,2.31,69.95,-3.16,2.31,,,,0.62,0.25,0.81,0.79,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""large_temporal_jump\"", \""high_cluster_ambiguity\"", \""low_line_support_consistency\""]""]",58,42,0,16,71,16,221.32,1133.26,198.56,69.95,69.95,,False,single_frame_vanishing_point_image_geometry_yaw,195.16055569709772,True,0.9642,0.1972,2,1,"[""yaw_sign_reference_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
79,7.9,-63.13,-4.23,2.79,63.13,-4.23,2.79,,,,0.64,0.25,0.88,0.79,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""large_temporal_jump\"", \""high_cluster_ambiguity\"", \""low_line_support_consistency\""]""]",49,32,0,17,102,6,232.92,990.01,205.1,63.13,63.13,,False,single_frame_vanishing_point_image_geometry_yaw,143.39921234093302,True,0.9743,0.2059,3,2,"[""yaw_sign_reference_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
80,8.0,-65.51,-1.85,2.7,65.51,-1.85,2.7,,,,0.71,0.54,0.81,0.77,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""high_cluster_ambiguity\""]""]",52,40,0,12,51,7,207.06,1031.56,210.03,65.51,65.51,,False,single_frame_vanishing_point_image_geometry_yaw,41.841455519615906,True,0.9961,0.3725,6,5,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity""]"
81,8.1,-67.03,-1.96,3.15,67.03,-1.96,3.15,,,,0.72,0.53,0.84,0.78,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""high_cluster_ambiguity\""]""]",60,33,2,25,200,10,208.24,1062.28,212.87,67.03,67.03,,False,single_frame_vanishing_point_image_geometry_yaw,30.85099674240691,True,0.9963,0.53,5,4,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity""]"
82,8.2,-65.27,-2.74,-1.57,65.27,-2.74,-1.57,,,,0.7,0.54,0.8,0.76,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""high_cluster_ambiguity\""]""]",61,27,1,33,374,7,216.68,1026.96,211.8,65.27,65.27,,False,single_frame_vanishing_point_image_geometry_yaw,35.33620381421858,True,0.967,0.7406,4,3,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity""]"
83,8.3,-67.21,-1.09,2.23,67.21,-1.09,2.23,,,,0.71,0.54,0.83,0.77,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""high_cluster_ambiguity\""]""]",70,28,2,40,546,6,198.78,1066.13,211.79,67.21,67.21,,False,single_frame_vanishing_point_image_geometry_yaw,39.170001276487156,True,0.9813,0.5201,5,4,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity""]"
84,8.4,-67.94,-2.35,-0.0,67.94,-2.35,-0.0,,,,0.7,0.54,0.79,0.77,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""high_cluster_ambiguity\""]""]",72,35,4,33,364,13,212.53,1082.35,203.08,67.94,67.94,,False,single_frame_vanishing_point_image_geometry_yaw,18.410662671397603,True,0.9738,0.5852,6,5,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity""]"
85,8.5,-67.43,-0.12,-1.85,67.43,-0.12,-1.85,,,,0.7,0.54,0.79,0.76,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""high_cluster_ambiguity\""]""]",71,41,2,28,249,12,188.33,1070.92,205.84,67.43,67.43,,False,single_frame_vanishing_point_image_geometry_yaw,11.758507558359446,True,0.9655,0.494,7,6,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity""]"
86,8.6,-63.52,-0.95,-0.0,63.52,-0.95,-0.0,,,,0.7,0.54,0.79,0.78,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""high_cluster_ambiguity\""]""]",73,37,3,33,318,15,197.34,996.38,209.0,63.52,63.52,,False,single_frame_vanishing_point_image_geometry_yaw,74.60695141875193,True,0.9744,0.5881,6,5,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity""]"
87,8.7,-66.31,4.72,-0.0,66.31,4.72,-0.0,,,,0.7,0.53,0.8,0.77,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""high_cluster_ambiguity\""]""]",68,25,4,39,530,9,135.69,1047.17,195.5,66.31,66.31,,False,single_frame_vanishing_point_image_geometry_yaw,52.55353556136835,True,0.9658,0.5887,7,6,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity""]"
88,8.8,-61.15,4.77,-0.0,61.15,4.77,-0.0,,,,0.69,0.54,0.76,0.78,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""high_cluster_ambiguity\""]""]",64,22,8,34,340,7,135.2,960.44,203.92,61.15,61.15,,False,single_frame_vanishing_point_image_geometry_yaw,87.13776047156595,True,0.9745,0.8147,6,7,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity""]"
89,8.9,-63.28,-0.82,-0.0,63.28,-0.82,-0.0,,,,0.71,0.54,0.81,0.78,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""high_cluster_ambiguity\""]""]",61,19,5,37,478,10,195.89,992.54,197.94,63.28,63.28,,False,single_frame_vanishing_point_image_geometry_yaw,32.65226485253349,True,0.9688,0.6025,4,3,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity""]"
90,9.0,-62.57,1.4,-0.0,62.57,1.4,-0.0,,,,0.71,0.54,0.81,0.78,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""high_cluster_ambiguity\""]""]",70,23,5,42,635,13,171.77,981.3,195.67,62.57,62.57,,False,single_frame_vanishing_point_image_geometry_yaw,11.466930714014115,True,0.949,0.6362,5,4,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity""]"
91,9.1,-63.42,2.57,-0.0,63.42,2.57,-0.0,,,,0.72,0.54,0.82,0.79,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""high_cluster_ambiguity\""]""]",77,23,6,48,763,17,159.11,994.7,192.72,63.42,63.42,,False,single_frame_vanishing_point_image_geometry_yaw,13.720878251773915,True,0.9601,0.713,4,3,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity""]"
92,9.2,-61.53,2.12,-0.0,61.53,2.12,-0.0,,,,0.71,0.54,0.81,0.78,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""high_cluster_ambiguity\""]""]",79,23,8,48,812,11,164.0,965.9,192.79,61.53,61.53,,False,single_frame_vanishing_point_image_geometry_yaw,28.800085069318875,True,0.9539,0.6872,3,2,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity""]"
93,9.3,-59.08,3.61,-0.0,59.08,3.61,-0.0,,,,0.74,0.54,0.87,0.82,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""high_cluster_ambiguity\""]""]",70,21,9,40,612,16,147.84,933.22,194.45,59.08,59.08,,False,single_frame_vanishing_point_image_geometry_yaw,32.72213318229722,True,0.9748,0.817,3,4,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity""]"
94,9.4,-59.5,2.61,-0.94,59.5,2.61,-0.94,,,,0.71,0.54,0.78,0.81,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""high_cluster_ambiguity\""]""]",64,24,6,34,398,16,158.67,938.49,189.69,59.5,59.5,,False,single_frame_vanishing_point_image_geometry_yaw,7.101443515229824,True,0.9625,0.8191,9,8,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity""]"
95,9.5,-57.36,2.13,-0.0,57.36,2.13,-0.0,,,,0.73,0.54,0.82,0.82,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""high_cluster_ambiguity\""]""]",67,16,9,42,582,13,163.87,912.9,189.89,57.36,57.36,,False,single_frame_vanishing_point_image_geometry_yaw,25.590781543360524,True,0.9337,0.9347,2,1,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity""]"
96,9.6,-57.63,0.79,-0.0,57.63,0.79,-0.0,,,,0.82,0.79,0.87,0.81,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\""]""]",58,15,5,38,441,13,178.41,916.02,186.82,57.63,57.63,,False,single_frame_vanishing_point_image_geometry_yaw,4.377133765376606,True,0.4764,0.9977,1,2,"[""yaw_sign_reference_flip""]"
97,9.7,-55.67,0.21,-0.0,55.67,0.21,-0.0,,,,0.72,0.54,0.8,0.83,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""high_cluster_ambiguity\""]""]",56,16,6,34,398,12,184.69,894.8,187.53,55.67,55.67,,False,single_frame_vanishing_point_image_geometry_yaw,21.231874622840095,True,0.8352,0.9648,2,3,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity""]"
98,9.8,-51.48,-2.04,-0.0,51.48,-2.04,-0.0,,,,0.73,0.54,0.84,0.81,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""high_cluster_ambiguity\""]""]",39,12,5,22,153,8,209.1,855.9,194.17,51.48,51.48,,False,single_frame_vanishing_point_image_geometry_yaw,39.4626354923236,True,0.5618,0.9804,1,2,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity""]"
99,9.9,-51.01,-1.48,-1.68,51.01,-1.48,-1.68,,,,0.82,0.79,0.84,0.83,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\""]""]",39,15,4,20,119,13,203.03,851.99,190.15,51.01,51.01,,False,single_frame_vanishing_point_image_geometry_yaw,5.607896218725843,True,0.5342,0.9748,1,2,"[""yaw_sign_reference_flip""]"
100,10.0,-50.52,-1.71,-0.94,50.52,-1.71,-0.94,,,,0.84,0.8,0.88,0.84,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\""]""]",33,9,6,18,110,6,205.55,847.99,176.77,50.52,50.52,,False,single_frame_vanishing_point_image_geometry_yaw,13.965113676587093,True,0.0,1.0,1,,"[""yaw_sign_reference_flip""]"
101,10.1,-45.92,-1.35,-1.18,45.92,-1.35,-1.18,,,,0.82,0.8,0.85,0.81,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\""]""]",40,16,5,19,123,14,201.6,814.09,179.02,45.92,45.92,,False,single_frame_vanishing_point_image_geometry_yaw,33.974586090193924,True,0.0,1.0,1,,"[""yaw_sign_reference_flip""]"
102,10.2,-42.21,-0.48,-1.85,42.21,-0.48,-1.85,,,,0.8,0.79,0.79,0.83,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\""]""]",34,9,8,17,95,8,192.19,790.62,182.0,42.21,42.21,,False,single_frame_vanishing_point_image_geometry_yaw,23.65842978728726,True,0.4751,0.9579,1,3,"[""yaw_sign_reference_flip""]"
103,10.3,-39.78,-1.08,-0.0,39.78,-1.08,-0.0,,,,0.73,0.54,0.84,0.81,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""high_cluster_ambiguity\""]""]",43,17,5,21,166,15,198.75,776.7,179.72,39.78,39.78,,False,single_frame_vanishing_point_image_geometry_yaw,14.10548829356853,True,0.5922,0.8735,2,3,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity""]"
104,10.4,-37.53,-0.78,-1.29,37.53,-0.78,-1.29,,,,0.79,0.79,0.79,0.8,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\""]""]",36,11,5,20,152,10,195.44,764.65,179.41,37.53,37.53,,False,single_frame_vanishing_point_image_geometry_yaw,12.053986892310844,True,0.0,1.0,1,,"[""yaw_sign_reference_flip""]"
105,10.5,-32.42,-0.63,-0.0,32.42,-0.63,-0.0,,,,0.81,0.79,0.84,0.81,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\""]""]",43,12,6,25,234,8,193.82,739.75,180.11,32.42,32.42,,False,single_frame_vanishing_point_image_geometry_yaw,24.90983741416228,True,0.0,1.0,1,,"[""yaw_sign_reference_flip""]"
106,10.6,-32.22,-0.01,-0.0,32.22,-0.01,-0.0,,,,0.79,0.8,0.78,0.8,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\""]""]",44,5,8,31,386,4,187.06,738.86,176.51,32.22,32.22,,False,single_frame_vanishing_point_image_geometry_yaw,3.708382396679196,True,0.477,0.9974,1,2,"[""yaw_sign_reference_flip""]"
107,10.7,-26.32,-0.1,-0.0,26.32,-0.1,-0.0,,,,0.72,0.54,0.85,0.77,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""high_cluster_ambiguity\""]""]",64,13,8,43,754,12,188.08,713.52,176.36,26.32,26.32,,False,single_frame_vanishing_point_image_geometry_yaw,25.340443958226178,True,0.8978,0.9668,5,4,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity""]"
108,10.8,-21.22,0.08,-0.0,21.22,0.08,-0.0,,,,0.83,0.8,0.87,0.81,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\""]""]",39,7,8,24,219,7,186.08,693.6,175.09,21.22,21.22,,False,single_frame_vanishing_point_image_geometry_yaw,19.96044338184897,True,0.0,1.0,1,,"[""yaw_sign_reference_flip""]"
109,10.9,-16.16,0.26,-0.81,16.16,0.26,-0.81,,,,0.81,0.8,0.85,0.79,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\""]""]",37,8,7,22,179,8,184.16,675.19,172.79,16.16,16.16,,False,single_frame_vanishing_point_image_geometry_yaw,18.553115641314772,True,0.0,1.0,1,,"[""yaw_sign_reference_flip""]"
110,11.0,-11.09,0.87,-0.0,11.09,0.87,-0.0,,,,0.82,0.8,0.85,0.81,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\""]""]",35,9,7,19,142,9,177.55,657.66,172.2,11.09,11.09,,False,single_frame_vanishing_point_image_geometry_yaw,17.539925883537908,True,0.0,1.0,1,,"[""yaw_sign_reference_flip""]"
111,11.1,-12.42,0.38,-0.0,12.42,0.38,-0.0,,,,0.74,0.55,0.84,0.82,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""high_cluster_ambiguity\""]""]",35,12,7,16,94,12,182.92,662.18,176.46,12.42,12.42,,False,single_frame_vanishing_point_image_geometry_yaw,6.211119061811647,True,0.6901,0.9362,2,1,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity""]"
